asin,title,price,imUrl,description,brand
0001072986,As You Like it: Complete &amp; Unabridged,NULL,http://ecx.images-amazon.com/images/I/51X8Z6CJ10L.jpg,"William Shakespeare is widely regarded as the greatest playwright the world has seen. He produced an astonishing amount of work; 37 plays, 154 sonnets, and 5 poems. He died on 23rd April 1616, aged 52, and was buried in the Holy Trinity Church, Stratford.",NULL
0001053744,Pearl and Sir Orfeo,6.05,http://ecx.images-amazon.com/images/I/712C-G3XiTL.jpg,"While many readers are familiar with SIR GAWAIN AND THE GREEN KNIGHT (and perhaps even Tolkien's translation), these poems from the same fourteenth-century manuscript are less well known. PEARL the longer of the two, is an elegy for the poet's baby daughter, told in alliterative verse. SIR ORFEO is a Celtic version of the Greek myth of Orpheus and Eurydice, complete with a happy ending that the older story lacks. Terry Jones, former member of Monty Python and a medieval scholar to boot, sounds perfectly comfortable with the rhythms and language. One even gets a taste of the original Middle English on the final side, when Jones puts these works into context by reading Tolkien's own introductions.  D.B. &copy; AudioFile 2001, Portland, Maine--Copyright &#169; AudioFile, Portland, Maine",NULL
0001055178,Master Georgie,16.95,http://ecx.images-amazon.com/images/I/51ZSC6TKS3L.jpg,"Beryl Bainbridge seems drawn to disaster. First she tackled the  unfortunate Scott expedition to the South Pole inThe Birthday Boys; later (but emphatically pre-DiCaprio) came the sinking of the Titanic, inEvery Man for Himself. Now, in her 3rd historical novel (and her 16th overall), she takes on the Crimean War, and the result is a slim, gripping volume with all of the doomed intensity of the Light Brigade's charge--but, thankfully, without the Tennysonian bombast. ""Some pictures,"" a character confides, ""would only cause alarm to ordinary folk."" There's a warning concealed here, and one that easily disturbed readers would do well to heed:Master Georgieis intense, disturbing, revelatory--and not always pretty to look at.Bainbridge's narrative circles round the enigmatic figure of George Hardy, a surgeon, amateur photographer, alcoholic, and repressed homosexual who counters the dissipation of his prosperous Liverpool life by heading for the Crimean Peninsula in 1854. His journey and subsequent tour of duty are told in three very different voices: Myrtle, an orphan whose lifelong loyalty to her ""Master Georgie"" becomes an overriding obsession; Pompey Jones, street urchin, fire-eater, photographer, and George's sometime lover; and Dr. Potter, George's scholarly brother-in-law, whose retreat from the war's carnage and into books takes on a tinge of madness.United by a sudden death in a Liverpool brothel in 1846, these characters plumb the curious workings of love, war, class, and fate. In between, Bainbridge frames an unforgettable series oftableaux morts: a dying soldier, one lens of his glasses ""fractured into a spider's web""; a decapitated leg, toes ""poking through the shreds of a cavalry boot""; two dead men ""on their knees, facing one another, propped up by the pat-a-cake thrust of their hands."" Glimpsed as if sidewise and then passed over in language that is as understated as it is lovely, these are images that sear into the brain.Master Georgieis full of such moments, horrors painted with an exquisite brush.--Mary Park--This text refers to an out of print or unavailable edition of this title.",NULL
0001064487,Celebremos Su Gloria,NULL,http://ecx.images-amazon.com/images/I/41bI6DhG7SL.jpg,NULL,NULL
0001042335,Hamlet: Complete &amp; Unabridged,NULL,http://ecx.images-amazon.com/images/I/51ZSAPAXN4L.jpg,"William Shakespeare is widely regarded as the greatest playwright the world has seen. He produced an astonishing amount of work; 37 plays, 154 sonnets, and 5 poems. He died on 23rd April 1616, aged 52, and was buried in the Holy Trinity Church, Stratford.",NULL
0000202010,The Laurel &amp; Hardy Book (The Curtis Film Series),NULL,http://ecx.images-amazon.com/images/I/516Xv4rbRoL.jpg,NULL,NULL
0001057138,Classic Connolly in Words and Music (HarperCollinsComedy),NULL,http://ecx.images-amazon.com/images/I/41K9BHNH7CL.jpg,NULL,NULL
000136118X,"One, Two, Guess Who?",NULL,http://ecx.images-amazon.com/images/I/51HK6S3HJNL.jpg,"One, Two, Guess Who? by Colin and Jacqui Hawkins turns counting to 10 into a game. A pair of numbers is presented in a rhyme with a clue: ""Who found the slipper left behind on the stairs? The Ugly Sisters said it was theirs."" Three choices appear on a flap with the answer underneath, ""It was Prince Charming who came to call,/ carrying the slipper last at the ball."" Children can go from one to 10 all over again on the last pages, which briefly recap the number rhyme and the objects seen.Copyright 2001 Cahners Business Information, Inc.--This text refers to an out of print or unavailable edition of this title.",NULL
0000000868,Foot Rot of Piper nigrum. L. (Phytopathological Paper),21.85,http://ecx.images-amazon.com/images/I/41K1RtF0J0L.jpg,NULL,NULL
0000695009,Understanding Seizures and Epilepsy DVD,NULL,http://g-ecx.images-amazon.com/images/G/01/x-site/icons/no-img-sm._CB192198896_.gif,NULL,NULL
0001053655,Who on Earth is Tom Baker?,NULL,http://ecx.images-amazon.com/images/I/41C0C3DKRWL.jpg,NULL,NULL
0001360000,Mog's Kittens,10.76,http://ecx.images-amazon.com/images/I/514Y3NCWBTL.jpg,"Judith Kerr&#8217;s best&#8211;selling adventures of that endearing (and exasperating) cat Mog have entertained children for more than 30 years. Now, even infants and toddlers can enjoy meeting this loveable feline. These sturdy little board books&#8212;with their bright, simple pictures, easy text, and hand&#8211;friendly formats&#8212;are just the thing to delight the very young. Ages 6 months&#8211;2 years.",NULL
0000038504,"Double-Speak: From Revenue Enhancement to Terminal Living--How Government, Business, Advertisers and Others Use Language to Deceive You",NULL,http://ecx.images-amazon.com/images/I/51x9TcnJXiL._SL500_.jpg,NULL,NULL
0001203088,Hilda Boswell's Omnibus - A Treasury of Favorites,NULL,http://ecx.images-amazon.com/images/I/41oE0tqP3zL.jpg,NULL,NULL
0001061100,Chess for Children,NULL,http://ecx.images-amazon.com/images/I/61Y8fD-3reL.jpg,NULL,NULL
000107461X,Live in Houston [VHS],NULL,http://ecx.images-amazon.com/images/I/41WY47gLVtL.jpg,NULL,NULL
0001018043,The Enchanted Horse,8.09,NULL,"Grade 3-6-In this fast-paced fantasy, a neglected wooden horse is changed back into the beautiful mare it once was, through the loving care of a shy, lonely, preadolescent girl. Irina sees the old rocking horse in a junkstore window and decides she must have it. The proprietor, sensing her need for it, gives Bella to her, and tells her about a live Bella, a beautiful, once-wild horse that used to belong to a local farmer who mistreated her. As the wooden horse gradually comes to life, Irina blossoms. She is happier than she has ever been, especially when her Bella takes her on thrilling midnight rides. One cold winter night, the animal leaves the child to run through the hills with a herd of wild horses. Irina is devastated. Too late she realizes she has not heeded the storekeeper's warning ""Never say that any creature on this earth is yours...."" She withdraws into herself again-until Bella returns, bringing her injured foal for Irina to nurse. This time she promises herself to let it go when it is grown. In so doing, she frees herself to grow up. The message may seem obvious to some, but that will not deter young horse lovers and beginning readers of fantasy, who will be absorbed by the details of equistrian care, the magic of the animal's transformation, and the excitement of the late-night rides. The many fine black-and-white drawings convey Irina's sadness, Bella's magical changes, and the strong energy of the galloping horses.Virginia Golodetz, St. Michael's College, Winooski, VTCopyright 1993 Reed Business Information, Inc.--This text refers to an out of print or unavailable edition of this title.",NULL
0000143529,My Fair Pastry (Good Eats Vol. 9),19.99,http://ecx.images-amazon.com/images/I/51QY79CDfjL._SY300_.jpg,Disc 1: Flour Power (Scones; Shortcakes; Southern Biscuits; Salmon Turnovers; Fruit Tart; Funnel Cake; Sweet or Savory; Pte  Choux) Disc 2: Super Sweets 4 (Banana Spitsville; Burned Peach Ice Cream; Chocolate Taffy; Acid Jellies; Peanut Brittle; Chocolate Fudge; Peanut Butter Fudge) Disc 3: Super Sweets 5 (Lemon Meringue Pie; Pie Crust; Yeast Doughnuts; Doughnut Glaze; Chocolate Doughnut Glaze; Sugar Cookies; Royal Icing; Chocolate Peppermint Pinwheel Cookies),NULL
0000477141,MKSAP 15 Audio Companion,41.22,http://ecx.images-amazon.com/images/I/51ky-L29jTL.jpg,NULL,NULL
0001437879,Great Hymns of the Faith: King James Responsive Readings,NULL,http://ecx.images-amazon.com/images/I/51PA8hajWWL._SL500_.jpg,NULL,NULL
0001035649,Under Milk Wood: Dylan Thomas &amp; the Original Cast,NULL,http://ecx.images-amazon.com/images/I/51P6XDFRVKL.jpg,NULL,NULL
0001381245,Misty of Chincoteague,5.47,http://ecx.images-amazon.com/images/I/A1%2B%2BKHnzuVL.jpg,NULL,NULL
000102521X,The Fatal Strand (Tales from the Wyrd Museum),NULL,http://ecx.images-amazon.com/images/I/516TRJBF9XL.jpg,"For lovers of extravagant words and action charged with mystery and passion, Mr Jarvis must be hard to beat.' Times Educational Supplement 'Jarvis creates a rich, intricate world... well worth reading.' The Daily Telegraph 'The best one yet!' 12-yr old fan, Tunbridge Wells",NULL
0001371045,Hilda Boswell's treasury of children's stories: A new anthology of stories for the young,NULL,http://ecx.images-amazon.com/images/I/81VxVmFrJaL.jpg,NULL,NULL
0001468685,Suddenly One Was Taken!,NULL,http://ecx.images-amazon.com/images/I/71eeMmDZhTL.jpg,NULL,NULL
0000031887,Ballet Dress-Up Fairy Tutu,6.79,http://ecx.images-amazon.com/images/I/314qZjYevsL.jpg,"This adorable basic ballerina tutu is perfect for dance recitals. Fairy Princes Dress up, costume, play and much. Comes individually packaged. Use for a Tinkerbell dress up accessory and watch her flutter excitedly for hours in her tutu. Very soft elastic waist that is trimmed in satin and stretches to fit from an average size 3 to a size 8.",Boutique Cutie
0000143502,Rise and Swine (Good Eats Vol. 7),62.51,http://ecx.images-amazon.com/images/I/51NQ%2B7AMXpL._SY300_.jpg,"Rise and Swine (Good Eats Vol. 7) includes bonus footage ""Ask Alton"" and 3 discs. Disc 1: Breakfast Eats 3 (Bacon Vinaigrette with Grilled Radicchio; Scrap Iron Chef's Bacon; Honey Mustard Cure; Molasses Black Pepper Cure; Red Pepper Brine; Soy Honey Brine; Omelet; Omelet for a Crowd; Frittata; Blueberry Muffins; And More...) Disc 2: Fruit Fest (It's a Wonderful Waldorf; 10 Minute Applesauce; Baker, Baker; Clotted Cream; Macerated Strawberries; Strawberry Pudding; Frozen Strawberries; Banana Ice Cream; Bananas Foster; Fried Plantains; And more...) Disc 3: Manly Eats (Sirloin Steak; Skirt Steak; Pulled Pork; Corn Dogs; Mini Man Burgers; And More...)",NULL
0000619574,A Diamond of Years; the Best of the Woman's Home Companion,NULL,http://ecx.images-amazon.com/images/I/71Yc3Bep7VL.jpg,NULL,NULL
0001473727,The Greatest Book on &quot;Dispensational Truth&quot; in the World,2.99,http://ecx.images-amazon.com/images/I/512M299KGAL.jpg,NULL,NULL
0001061127,Chess for Young Beginners,NULL,http://ecx.images-amazon.com/images/I/71zWyybZsqL.jpg,NULL,NULL
0001384198,The Little Engine That Could: Pop-up Book,13.86,http://ecx.images-amazon.com/images/I/81SL54R-Q0L.jpg,NULL,NULL
0000191639,Dr. Suess 19163 Dr. Seuss Puzzle 3 Pack Bundle,37.12,http://ecx.images-amazon.com/images/I/414PLROXy-L._SY300_.jpg,"Three Dr. Suess' Puzzles: Green Eggs and Ham, Favorite Friends, and One Fish Two Fish Red Fish Blue Fish",Dr. Seuss
0000230022,The Simple Truths of Service: Inspired by Johnny the Bagger,6.93,http://ecx.images-amazon.com/images/I/218uMkP0QhL.jpg,NULL,NULL
0001057324,Ardal O'Hanlon: Star of Channel 4's Father Ted in His Hilarious Stand-Up Show (HarperCollinsComedy),NULL,http://ecx.images-amazon.com/images/I/51t2n4sLtPL.jpg,NULL,NULL
0000031895,Girls Ballet Tutu Neon Blue,2.99,http://ecx.images-amazon.com/images/I/41Csjlr%2BxpL._SY300_.jpg,"Dance tutu for girls ages 2-8 years. Perfect for dance practice, recitals and performances, costumes or just for fun!",BubuBibi
0001382489,Huck Scarry on Wheels,NULL,http://ecx.images-amazon.com/images/I/51mBWBUNljL.jpg,NULL,NULL
0001001787,Sailing,NULL,http://ecx.images-amazon.com/images/I/A1wv9mXUbcL.jpg,NULL,NULL
0000174076,Evaluating Research in Academic Journals - A Practical Guide to Realistic Evaluation (5th Fifth Edition) - By Fred Pyrczak,53.55,http://ecx.images-amazon.com/images/I/31%2BHg%2Bum5uL.jpg,NULL,NULL
0001056107,Farmer Giles of Ham: And Other Stories,NULL,http://ecx.images-amazon.com/images/I/51SC9FWR8RL.jpg,'A fabulous tale of the days when giants and dragons walked the kingdom' Sunday Times,NULL
0000000116,Georgina Goodman Nelson Womens Size 8.5 Purple Regular Suede Platforms Shoes,NULL,http://ecx.images-amazon.com/images/I/51Rbg%2BCYkIL.jpg,NULL,NULL
0000013714,Heavenly Highway Hymns: Shaped-Note Hymnal,8.09,http://ecx.images-amazon.com/images/I/51M1p2doKXL.jpg,NULL,NULL
0001380877,Best Christmas Book Ever,NULL,NULL,NULL,NULL
0001486632,New England Christmas,NULL,http://ecx.images-amazon.com/images/I/61aFyTenvgL._SL500_.jpg,NULL,NULL
0001484648,All rapped up: An inside look at the rap/dance music scene : video study guide,NULL,http://ecx.images-amazon.com/images/I/51SNaJTxgvL.jpg,NULL,NULL
0001057146,More Classic Connolly,NULL,http://ecx.images-amazon.com/images/I/41SGKNED4QL.jpg,NULL,NULL
0001360183,Foxy Plays Hide and Seek,NULL,http://ecx.images-amazon.com/images/I/51J29R9ZAJL.jpg,NULL,NULL
0000143588,"Barefoot Contessa (with Ina Garten), Entertaining With Ina Vol. 2 (3 Pack): Brunch 'n' Lunch, Picnic Parties, Summer Entertaining",9.15,http://ecx.images-amazon.com/images/I/51-qpMfgseL._SY300_.jpg,"Barefoot Contessa Volume 2: On these three discs, ""Brunch N Lunch"", ""Picnic Parties"", and ""Summer Entertaining"", Ina shows you the ins and outs of casual yet elegant entertaining. Learn to prepare scrumptious dishes for all occasions, from birthday parties and picnics to beach parties and brunch gatherings at home. Recipes include Endive and Avocado Salad, Meringues with Cassis and Raspberries, Affogato, Caesar Salad with Pancetta, Pissaladiere, Lemon Cake, Marmalade Butter, Potato Basil Frittata, Cheddar Corn Chowder, and many more delicious offerings....210 minutes run time",NULL
0001517791,Praise Aerobics [VHS],NULL,http://ecx.images-amazon.com/images/I/51T8Q9BG42L._SY300_.jpg,Praise Aerobics - A low-intensity/high-intesity low impact aerobic workout.,NULL
0001056530,The Grass Is Always Greener and Other Stories,11.18,http://ecx.images-amazon.com/images/I/51A4zWHY4QL.jpg,'Archer has a gift for plot that can only be described as genius' Daily Telegraph,NULL
000077135X,"Bloomberg Businessweek Magazine (April 1, 2013 - April 7, 2013) Samsung's Secret",NULL,http://ecx.images-amazon.com/images/I/A1JR4vuuVuL.jpg,NULL,NULL
0001006002,The Rescue Party,NULL,http://ecx.images-amazon.com/images/I/51ZGRV5J5QL.jpg,NULL,NULL
0001632108,Pixie Tales,NULL,http://ecx.images-amazon.com/images/I/41I51DIkA5L.jpg,NULL,NULL
0001436163,Polished Communion Tray,41.81,http://ecx.images-amazon.com/images/I/21WbLCEAWwL.jpg,NULL,NULL
0001006657,I Want My Dinner,7.99,http://ecx.images-amazon.com/images/I/510AQCZVBGL.jpg,"PreS?A humorous look at manners that's sure to appeal to preschoolers. The book opens as the Little Princess screams, ""I want my dinner!"" The picture of her red-faced temper tantrum, complete with silverware flying through the air, shows more than the text reveals. Next, she demands her potty (while squeezing toothpaste all over the cat). Finally, she remembers to say the magic word when she requests her teddy bear. Then, on a walk, she encounters a big, red-nosed blue Beastie. He pitches a fit about wanting his dinner, and the Little Princess tells him to say please. The smiling, yellow-crowned child reminds him to say thank you, too. The simple text combined with exuberant, colorful watercolors show Ross at his best. Any child who has been reminded to be courteous will appreciate the cheerful, comical illustrations.?Janet M. Bair, Trumbull Library, CTCopyright 1996 Reed Business Information, Inc.--This text refers to an out of print or unavailable edition of this title.",NULL
0001527665,Peace Child [VHS],9.98,http://ecx.images-amazon.com/images/I/51RTA77RZXL._SY300_.jpg,NULL,NULL
0001713086,Dr. Seuss ABC (Dr.Seuss Classic Collection) (Spanish Edition),8.96,http://ecx.images-amazon.com/images/I/51FM1XYWQVL.jpg,NULL,NULL
0001361155,Noddy Story Book Treasury,NULL,http://ecx.images-amazon.com/images/I/51ZTHY6ENTL.jpg,NULL,NULL
000171287X,The Berenstains' B Book (Bright &amp; Early Books),3.13,http://ecx.images-amazon.com/images/I/31hjUxZugDL.jpg,"By Stan Berenstain and Jan Berenstain, Illustrated by Stan Berenstain and Jan Berenstain",NULL
0001472933,The Book of Daniel,26.55,http://ecx.images-amazon.com/images/I/414KH1FPH9L.jpg,NULL,NULL
000171130X,The Travels of Doctor Dolittle (Beginner Series),3.6,http://ecx.images-amazon.com/images/I/51Q7XxU5OBL.jpg,"Illus. in full color. The adventures of Dr. Dolittle, the veterinarian who can talk to his patients, have been charming children the world over since 1920. This edition offers the only text especially adapted for beginning readers.&#160;&#160;--This text refers to an out of print or unavailable edition of this title.",NULL
0001837192,Pieter Brueghel's The fair: Story,NULL,http://ecx.images-amazon.com/images/I/913JcEhB6wL.jpg,NULL,NULL
0001361139,My Anastasia Storybook (Anastasia),NULL,http://ecx.images-amazon.com/images/I/517N5AQ9E7L.jpg,NULL,NULL
000100039X,The Prophet,3.99,http://ecx.images-amazon.com/images/I/81ZKLPivYUL.jpg,"In a distant, timeless place, a mysterious prophet walks the sands. At the moment of his departure, he wishes to offer the people gifts but possesses nothing. The people gather round, each asks a question of the heart, and the man's wisdom is his gift. It is Gibran's gift to us, as well, for Gibran's prophet is rivaled in his wisdom only by the founders of the world's great religions. On the most basic topics--marriage, children, friendship, work, pleasure--his words have a power and lucidity that in another era would surely have provoked the description ""divinely inspired."" Free of dogma, free of power structures and metaphysics, consider these poetic, moving aphorisms a 20th-century supplement to all sacred traditions--as millions of other readers already have.--Brian Bruya--This text refers to theHardcoveredition.",NULL
0001062395,star wars a pop-up book,NULL,http://ecx.images-amazon.com/images/I/6103qtYQ5FL._SL500_.jpg,NULL,NULL
0001473905,Rightly Dividing the Word,2.99,http://ecx.images-amazon.com/images/I/61KPC59B81L.jpg,--This text refers to thePaperbackedition.,NULL
000047715X,Mksap 16 Audio Companion: Medical Knowledge Self-Assessment Program,41.22,http://ecx.images-amazon.com/images/I/41P1Pouu-9L.jpg,NULL,NULL
0001386301,The Things in Mouldy Manor (Spooky Pop Ups),NULL,http://ecx.images-amazon.com/images/I/81ayhE3K30L.jpg,NULL,NULL
0001536338,Call Upon the Lord,12.6,http://ecx.images-amazon.com/images/I/51lITheXdiL.jpg,NULL,NULL
0001720104,MR. PLOD AND THE STOLEN BICYCLE (TOY TOWN STORIES),NULL,http://ecx.images-amazon.com/images/I/51TZQYZDJ9L.jpg,NULL,NULL
0001714546,Wings on Things (Bright and Early Books),8.09,http://ecx.images-amazon.com/images/I/51RA5485J4L.jpg,"Illustrated in full color. ""Wings! Wings! Wings! They are wonderful flying things..."" Come join Marc Brown for a wacky, whimsical whirl through the world of winged things. Kids will learn about creatures and things that have wings and - equally as important - those that don't. ""Wings are on eagles. Never on beagles. Always on ducks. Never on trucks. Wings on chairs. Never on bears..."" Brown's dazzling, bold art perfectly complements his easy-to-read rhyming text giving this spiffy reissue a truly nifty set ofsaleswings!&#160;&#160;--This text refers to an out of print or unavailable edition of this title.",NULL
0001720252,Dr.Seuss's ABC (Bright &amp; Early Board Books),4.49,http://ecx.images-amazon.com/images/I/51FKWNPBRPL.jpg,NULL,NULL
0001371037,Hilda Boswell's Treasury of Poetry,NULL,http://ecx.images-amazon.com/images/I/41KAlz21cRL.jpg,NULL,NULL
0001516035,Worship with Don Moen [VHS],19.99,http://g-ecx.images-amazon.com/images/G/01/x-site/icons/no-img-sm._CB192198896_.gif,Worship with Don Moen [VHS],NULL
0001621076,Our Friend Jennings,NULL,http://ecx.images-amazon.com/images/I/91LasvmncIL.jpg,NULL,NULL
0001839225,Spring Story (Brambly Hedge),7.99,http://ecx.images-amazon.com/images/I/61qIWAs9HxL.jpg,"""!the most researched-crammed fantasy ever set before small children!"" Sunday Times Magazine",NULL
0001501348,Lift Him Up With Ron Kenoly [VHS],NULL,http://ecx.images-amazon.com/images/I/412JH6CMZ5L._SY300_.jpg,"Lenny LeBlanc, Alex Acuna, Justo Almario, Tom Brooks, Abraham Laboriel, Chester Thompson",NULL
0001384163,Mog and Me (Mog the Cat Board Books),8.99,http://ecx.images-amazon.com/images/I/51NRP9JWN3L.jpg,"&#8220;Soft pastel illustrations lend a friendly, calm feeling to the adventures.&#8221; --Publisher Weekly",NULL
0001944959,Worms Wiggle,NULL,http://ecx.images-amazon.com/images/I/61qtGCCUX%2BL.jpg,NULL,NULL
0001837397,Autumn Story Brambly Hedge,7.99,http://ecx.images-amazon.com/images/I/61SVJoaIhlL.jpg,"""!the most research-crammed fantasy ever set before small children!"" Sunday Times Magazine",NULL
0001944541,SuperTed and the Goldmine,NULL,http://ecx.images-amazon.com/images/I/61Eytup9aFL.jpg,NULL,NULL
0000791156,Spirit Led-Moving By Grace In The Holy Spirit's Gifts,13.62,http://ecx.images-amazon.com/images/I/41VOn2LBVJL.jpg,"You can flow effortlessly and powerfully in the gifts of the Holy Spirit today! Join Joseph Prince as he expounds on the nine gifts of the Holy Spirit and be encouraged to know that every believer-including you-can operate in these grace gifts. Understand how the Spirit leads you in using these gifts and why ministering in love is so important. Discover the secret to stepping out in faith and love, and moving super-naturally in the Spirit. Find out also what your gifts are and how to flow in them. Whether it's in the area of your family, ministry or work, the messages in this powerful DVD resource will stir your faith and help you to operate and minister in the power of the Holy Spirit! 6-DVD Set(7 Sermons-approx. total duration: 5hr 47min)",NULL
0001487795,You Are Special Today Red Plate [With Red Pen],34.73,http://ecx.images-amazon.com/images/I/31BflCWuxEL.jpg,NULL,NULL
0001923331,"Three ( 3 ) Great Romantic Stories: Bride of Pendorric, The Heir of Garlands, Home at Sundown",NULL,http://ecx.images-amazon.com/images/I/71CjiKQQ%2BuL.jpg,NULL,NULL
0001923315,"Three Great Pony Stories: The Midnight Horse, Ponies for Hire and They Bought Her a Pony",NULL,http://ecx.images-amazon.com/images/I/4183tSVF0fL.jpg,NULL,NULL
0001381733,A Child's Garden of Verses,8.78,http://ecx.images-amazon.com/images/I/510yHcXCioL.jpg,NULL,NULL
0001714538,The Berenstain Bears on the Moon (Bright and Early Books),8.09,http://ecx.images-amazon.com/images/I/A1zj84uC9HL.jpg,"PreSchool-Grade 2 A delightful tale told in rhyme and supported by captivating color illustrations. In an adventure to the moon and back, the bears and their pooch cope with weightlessness, meteor showers and moon dust. They explore, plant a flag, take notes and collect moon rocks. The Berenstains have once again produced a winner for beginning readers. Anne Wirkkala, Springfield Center Central Sch . , N.Y.Copyright 2002 Reed Business Information, Inc.--This text refers to an out of print or unavailable edition of this title.",NULL
0001847627,the shape of three,NULL,http://ecx.images-amazon.com/images/I/616Vc9loLaL.jpg,NULL,NULL
0001515195,Go to the Ant,NULL,http://ecx.images-amazon.com/images/I/51TYX0DXJ5L.jpg,NULL,NULL
